Date,League,Home_Team,Away_Team,FTR,FTHG,FTAG,HS,AS,HST,AST,Home_ELO,Away_ELO,Home_Win_Streak,Away_Win_Streak,Home_Loss_Streak,Away_Loss_Streak,Home_Unbeaten_Streak,Away_Unbeaten_Streak,Home_Winless_Streak,Away_Winless_Streak,Home_Points_Last_5,Away_Points_Last_5,Home_Points_Last_10,Away_Points_Last_10,Home_Points_Last_20,Away_Points_Last_20,Home_Net_FTG,Away_Net_FTG,Home_Net_S,Away_Net_S,Home_Net_ST,Away_Net_ST,FTHG_Conceded,FTAG_Conceded,HST_Conceded,AST_Conceded,HS_Conceded,AS_Conceded
2023-09-24,SP1,Vallecano,Villarreal,1,1,1,11,13,6,6,995.828870452171,960.587362553954,1,0,0,1,1,0,0,1,9,6,9,6,9,6,0,0,-2,2,0,0,1,1,6,6,13,11
2023-09-24,SP1,Betis,Cadiz,1,1,1,21,5,7,1,961.07735281215,974.157457290334,1,0,0,2,2,0,0,2,7,7,7,7,7,7,0,0,16,-16,6,-6,1,1,1,7,5,21
2023-09-24,SP1,Las Palmas,Granada,2,1,0,10,2,3,1,914.262092269848,896.781053545712,0,0,0,2,2,0,2,2,2,3,2,3,2,3,1,-1,8,-8,2,-2,0,1,1,3,2,10
2023-09-24,SP1,Ath Madrid,Real Madrid,2,3,1,10,20,4,5,1066.17967282394,1144.44275759435,1,3,0,0,1,3,0,0,7,15,7,15,7,15,2,-2,-10,10,-1,1,1,3,5,4,20,10
2023-09-26,SP1,Sevilla,Almeria,2,5,1,18,10,9,1,950.400629327958,874.502453787986,1,0,0,1,1,0,0,2,4,2,4,2,4,2,4,-4,8,-8,8,-8,1,5,1,9,10,18
2023-09-26,SP1,Mallorca,Barcelona,1,2,2,10,10,5,4,944.067123408404,1172.99394418253,0,2,0,0,1,3,2,0,4,15,5,16,5,16,0,0,0,0,1,-1,2,2,4,5,10,10
2023-09-27,SP1,Athletic Club,Getafe,1,2,2,9,13,4,5,1127.79638216646,965.744044442904,2,0,0,3,2,0,0,3,13,6,13,7,13,7,0,0,-4,4,-1,1,2,2,5,4,13,9
2023-09-27,SP1,Real Madrid,Las Palmas,2,2,0,21,16,9,2,1090.86957966389,944.653386378225,2,0,0,3,2,0,0,3,12,4,15,5,15,5,2,-2,5,-5,7,-7,0,2,2,9,16,21
2023-09-27,SP1,Villarreal,Girona,0,1,2,14,17,3,5,962.204750830582,1147.6276447886,1,2,0,0,1,3,0,0,7,15,7,16,7,16,-1,1,-3,3,-2,2,2,1,5,3,17,14
2023-09-27,SP1,Cadiz,Vallecano,1,0,0,9,9,2,4,973.555380640701,994.211482175544,1,0,0,1,3,0,0,1,5,7,8,10,8,10,0,0,0,0,-2,2,0,0,4,2,9,9
2023-09-27,SP1,Valencia,Sociedad,0,0,1,9,2,2,1,1054.77680044526,1042.07096578938,1,0,0,1,1,0,0,2,7,8,10,9,10,9,-1,1,7,-7,1,-1,1,0,1,2,2,9
2023-09-28,SP1,Celta,Alaves,1,1,1,8,21,0,11,919.018748249832,923.884904114146,0,0,3,3,0,0,3,3,4,6,4,6,4,6,0,0,-13,13,-11,11,1,1,11,0,21,8
2023-09-28,SP1,Granada,Betis,1,1,1,19,13,7,3,866.389759437334,961.679429461784,0,0,1,2,0,0,1,2,3,5,3,8,3,8,0,0,6,-6,4,-4,1,1,3,7,13,19
2023-09-28,SP1,Osasuna,Ath Madrid,0,0,2,13,4,2,3,963.799739954082,1119.7528507544,0,0,0,1,1,0,3,1,4,10,7,10,7,10,-2,2,9,-9,-1,1,2,0,3,2,4,13
2023-09-29,SP1,Barcelona,Sevilla,2,1,0,18,12,5,3,1163.75180330825,1001.03268008927,3,0,0,0,3,1,0,2,13,7,17,7,17,7,1,-1,6,-6,2,-2,0,1,3,5,12,18
